Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 5A2111E02041

Model Number: AP8853
RPDU Serial Number: 5A2111E02646
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	09:34:31	apc48764F	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:5A2111E02646)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/09/2025	06:11:14	1.10	1.10	26897.3	   	   	5.1	5.1	2.1	3.1	2.1	3.1	
02/09/2025	06:01:14	1.10	1.10	26897.1	   	   	5.1	5.1	2.1	3.1	2.1	3.1	
02/09/2025	05:51:14	1.10	1.10	26896.9	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	05:41:14	1.10	1.10	26896.8	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	05:31:14	1.10	1.12	26896.6	   	   	5.1	5.2	2.1	3.0	2.1	3.1	
02/09/2025	05:21:13	1.10	1.10	26896.4	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	05:11:13	1.10	1.10	26896.2	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	05:01:13	1.10	1.10	26896.0	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	04:51:13	1.10	1.10	26895.9	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	04:41:13	1.10	1.10	26895.7	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	04:31:13	1.10	1.10	26895.5	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	04:21:13	1.07	1.10	26895.3	   	   	5.0	5.1	2.1	3.0	2.1	3.1	
02/09/2025	04:11:13	1.10	1.10	26895.1	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	04:01:13	1.10	1.10	26895.0	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	03:51:13	1.10	1.10	26894.8	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	03:41:13	1.10	1.10	26894.6	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	03:31:13	1.10	1.10	26894.4	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	03:21:13	1.10	1.10	26894.2	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	03:11:13	1.10	1.10	26894.1	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	03:01:13	1.10	1.10	26893.9	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	02:51:13	1.10	1.10	26893.7	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	02:41:13	1.10	1.10	26893.5	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	02:31:13	1.10	1.10	26893.3	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	02:21:13	1.10	1.10	26893.2	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	02:11:13	1.10	1.10	26893.0	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	02:01:13	1.10	1.10	26892.8	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	01:51:13	1.10	1.10	26892.6	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	01:41:12	1.10	1.10	26892.4	   	   	5.1	5.1	2.1	3.0	2.1	3.1	
02/09/2025	01:31:12	1.10	1.12	26892.3	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	01:21:12	1.10	1.10	26892.1	   	   	5.1	5.1	2.1	3.1	2.1	3.1	
02/09/2025	01:11:12	1.10	1.10	26891.9	   	   	5.1	5.1	2.1	3.1	2.1	3.1	
02/09/2025	01:01:12	1.10	1.12	26891.7	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	00:51:12	1.10	1.12	26891.5	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	00:41:12	1.10	1.12	26891.3	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	00:31:12	1.12	1.15	26891.2	   	   	5.2	5.3	2.1	3.1	2.1	3.2	
02/09/2025	00:21:12	1.10	1.12	26891.0	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	00:11:12	1.10	1.12	26890.8	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	00:01:12	1.12	1.12	26890.6	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/08/2025	23:51:12	1.12	1.12	26890.4	   	   	5.2	5.2	2.1	3.1	2.1	3.1	
02/08/2025	23:41:12	1.12	1.12	26890.2	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/08/2025	23:31:12	1.12	1.12	26890.1	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/08/2025	23:21:12	1.12	1.15	26889.9	   	   	5.2	5.3	2.1	3.1	2.2	3.2	
02/08/2025	23:11:12	1.15	1.15	26889.7	   	   	5.3	5.3	2.2	3.1	2.2	3.2	
02/08/2025	23:01:12	1.12	1.14	26889.5	   	   	5.2	5.3	2.1	3.1	2.1	3.2	
02/08/2025	22:51:12	1.12	1.15	26889.3	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/08/2025	22:41:12	1.12	1.15	26889.1	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/08/2025	22:31:12	1.12	1.17	26888.9	   	   	5.2	5.4	2.1	3.2	2.2	3.2	
