Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 0A2110G04928

Model Number: AP8853
RPDU Serial Number: 0A2110G05188
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	17:54:56	apc488888	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:0A2110G05188)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/09/2025	12:44:46	0.63	0.63	12661.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	12:34:46	0.63	0.63	12661.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	12:24:46	0.63	0.63	12661.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	12:14:46	0.63	0.63	12661.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	12:04:46	0.63	0.63	12661.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	11:54:46	0.63	0.63	12661.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	11:44:46	0.63	0.63	12661.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	11:34:46	0.63	0.63	12661.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	11:24:46	0.63	0.63	12661.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	11:14:45	0.63	0.63	12660.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	11:04:45	0.63	0.63	12660.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	10:54:45	0.63	0.63	12660.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	10:44:45	0.63	0.63	12660.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	10:34:45	0.63	0.63	12660.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	10:24:45	0.63	0.63	12660.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	10:14:45	0.63	0.63	12660.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	10:04:45	0.63	0.63	12660.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	09:54:45	0.63	0.63	12660.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	09:44:45	0.63	0.63	12660.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	09:34:45	0.63	0.63	12659.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	09:24:45	0.63	0.63	12659.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	09:14:45	0.63	0.63	12659.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	09:04:45	0.63	0.63	12659.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	08:54:45	0.63	0.63	12659.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	08:44:45	0.63	0.63	12659.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	08:34:45	0.63	0.63	12659.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	08:24:44	0.63	0.63	12659.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	08:14:44	0.63	0.63	12659.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	08:04:44	0.63	0.63	12659.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	07:54:44	0.63	0.63	12658.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
